lambda,gamma,weights,portfolio_return,portfolio_risk,energy_term
0.3,0.05,"[0.1616463355853559, 0.19606840161963715, 0.24642944664705893, 0.18346872281530055, 0.2123870933326474]",0.08529697150349515,0.0024808114369854876,0.00020344388811983916
0.3,0.1,"[0.1717589277925545, 0.1971134865143761, 0.2342097891550003, 0.1878336986706445, 0.20908409786742463]",0.08442812772439118,0.0024661963332631475,0.00022067395156600409
0.3,0.2,"[0.18216350675535742, 0.19818437985155996, 0.22162589622537418, 0.19232148422956108, 0.2057047329381473]",0.0835339631334401,0.002454045225618256,0.00017612398753454346
0.5,0.05,"[0.1494337027596703, 0.19564364628026734, 0.26066145599871643, 0.1793738071315323, 0.2148873878298137]",0.08629858296414136,0.0025027101729055193,0.00034514073134277634
0.5,0.1,"[0.16101457664069813, 0.19664902602003678, 0.24679587878539677, 0.1841025137906177, 0.2114380047632507]",0.08531475276192126,0.002482358614287137,0.00041045045531575843
0.5,0.2,"[0.1737699686836103, 0.19775239970295436, 0.23151003584424817, 0.18930829620905615, 0.20765929956013118]",0.08423081240677238,0.0024640625672135647,0.0003717852017129955
0.7,0.05,"[0.14250352465280544, 0.19544032709825487, 0.2687330531381797, 0.1771002710247852, 0.216222824085975]",0.08686544191655493,0.002516858318883517,0.0004419222748240038
0.7,0.1,"[0.1539739434064912, 0.19635651558853418, 0.2550478154824283, 0.18167242194544989, 0.21294930357709643]",0.08589546313341886,0.0024945677240524175,0.0005665519434070369
0.7,0.2,"[0.1674218769556117, 0.19742728408697427, 0.23898949407828235, 0.1870308994984797, 0.20913044538065198]",0.08475791891328466,0.002472849008617661,0.0005679392434824915
